,created_at,id,text
63,Thu Apr 02 12:20:57 +0000 2020,1245687665862815751,"@elonmusk @Tesla Dear Elon,
Nigeria and Nigerians seriously in need of hundreds or thousands of these ventilator pl… https://t.co/h7UfZ6upgi"
64,Thu Apr 02 12:58:59 +0000 2020,1245697234748006402,"@elonmusk @Tesla Hi Elon, that’s a wonderful tangible individual effort we have seen for the covid-19 response so f… https://t.co/DLsyDRUOEM"
65,Thu Apr 02 13:17:27 +0000 2020,1245701882452021252,"@elonmusk @Tesla Dr musk , with a poor health structure in Nigeria and rising cases of Covid 19 in our country , we… https://t.co/ir4kZ4GHZZ"
66,Thu Apr 02 13:37:07 +0000 2020,1245706833056186368,"@elonmusk @Tesla God bless you Sir.
We in Africa can’t thank u enough. Covid 19 infection is increasin by the day i… https://t.co/xUo2POLmdQ"
67,Thu Apr 02 13:37:37 +0000 2020,1245706956599439361,@elonmusk @Tesla I write on behalf of the people suffring this Covid-19 here in Nigeria 🇳🇬 and the poor masses that… https://t.co/z7LJox2GYs
68,Thu Apr 02 13:42:11 +0000 2020,1245708108539875331,"@elonmusk @Tesla We are responsible for the coordination of 19 hospitals, two of them deeply involved in fighting a… https://t.co/Pe3txQdEh5"
69,Thu Apr 02 13:53:19 +0000 2020,1245710907021410304,@elonmusk @Tesla Sir don't listen to this animals that called themselves our government . They lavish our resources… https://t.co/GU4SrUIO9F
70,Thu Apr 02 14:03:36 +0000 2020,1245713495922008064,@elonmusk @Tesla We in Nigeria we really need your assistance. Because the case of COVID-19 is always increasing he… https://t.co/lduqRZgsY9
71,Thu Apr 02 14:07:25 +0000 2020,1245714456946135040,"@elonmusk @Tesla Hi Elon, I reached out to you some months ago about investing in nigeria, If you think positive, l… https://t.co/Z2gLNkpRiI"
72,Thu Apr 02 14:16:14 +0000 2020,1245716674881490950,"@elonmusk @Tesla Dear Elon Musk,
Nigeria 🇳🇬 with population of 200million people is in dire need of ventilators. Th… https://t.co/hfK6YhYduI"
73,Thu Apr 02 14:31:34 +0000 2020,1245720533888577537,"@elonmusk @Tesla But they AREN’T ventilators - as you well know. Besides, you were one of the main proponents of th… https://t.co/8cqUwxSxj7"
74,Thu Apr 02 14:52:51 +0000 2020,1245725889234718727,"@elonmusk @Tesla Dear @elonmusk , am a Nigerian and i reside here. It's a shame my country can not boast of 200 ven… https://t.co/ZOHvWtzrn8"
75,Thu Apr 02 14:55:05 +0000 2020,1245726450977832966,@elonmusk I am a physician in NJ taking care of COVID patients. Our large hospital just ran out of vents. Anyway yo… https://t.co/DTI0oxg9sc
76,Thu Apr 02 15:13:09 +0000 2020,1245731000325484544,"@elonmusk @Tesla Hi hero @elonmusk , your generosity is highly appreciated and commendable. However, Nigerian billi… https://t.co/denTHmeKkb"
77,Thu Apr 02 15:32:21 +0000 2020,1245735832151109632,@elonmusk @tesla if you still have available vents my dads hospital is a designated Covid facility in Puerto Rico… https://t.co/2dxSyLkugb
78,Thu Apr 02 15:39:54 +0000 2020,1245737730513891328,@elonmusk @Tesla Working on regional level capacity to transport critical COVID pts to centralized intensive care u… https://t.co/2zU1FAcloB
79,Thu Apr 02 15:48:42 +0000 2020,1245739946721169408,"@elonmusk @Tesla Dear Elon, 
Please provide ventilators to India, as we are going to be in a very difficult situati… https://t.co/XeYzqor2be"
80,Thu Apr 02 15:49:20 +0000 2020,1245740104414572544,@elonmusk @Tesla We're an independent hospital in Brooklyn on the front lines of NYC's Covid-19 hot zone. We need 2… https://t.co/4tTGAyrmEK
81,Thu Apr 02 16:09:29 +0000 2020,1245745174333939717,"@elonmusk @Tesla Dear Mr. @elonmusk , our country Myanmar needed the ventilator as urgent to provide supportive tre… https://t.co/cynEBoNZMr"
82,Thu Apr 02 16:13:25 +0000 2020,1245746165393522690,@elonmusk @NYCHealthSystem @Tesla We could use some help down the road in Brooklyn. We're trying to locate 20 venti… https://t.co/2woFoWf3dr
83,Thu Apr 02 16:19:27 +0000 2020,1245747685283561473,"@elonmusk @Tesla We are a #Catholic, not-for-profit teaching #hospital in @CityofElizabeth. #NJ is #2 in the USA fo… https://t.co/siVKDct7rv"
84,Thu Apr 02 16:24:48 +0000 2020,1245749031357186049,"@elonmusk @Tesla Dear Mr. @elonmusk and @Tesla 

I am from Myanmar and currently, our country needs ventilators as… https://t.co/1IwczqI3cv"
85,Thu Apr 02 16:52:42 +0000 2020,1245756050021576705,@elonmusk @Tesla Dear mr.@elonmusk @Tesla I am from   Myanamr.Covid 19 patients are increasing day by day and  hope… https://t.co/b5ohOLgnKP
86,Thu Apr 02 17:47:04 +0000 2020,1245769734055956480,@elonmusk @Tesla @elonmusk did you see this article?  Seems they could use your batteries but the ventilators sent… https://t.co/XucjN6hwoR
87,Thu Apr 02 17:57:46 +0000 2020,1245772425544925184,"@elonmusk @NYCHealthSystem @Tesla These are *NOT* ICU ventilators.
https://t.co/zVhk9rfZWW
""Ventilators...operate a… https://t.co/izyAJ4imM2"
88,Thu Apr 02 18:31:04 +0000 2020,1245780805252714503,@elonmusk @Tesla Please 🙏 https://t.co/IPg6QmVjpL
89,Thu Apr 02 18:34:45 +0000 2020,1245781734873911296,@elonmusk @Tesla Omfg -Musk is referring to SLEEP APNEA Ventilators- NOT the invasive kind needed to treat Covid-19… https://t.co/LuIukbvS97
90,Thu Apr 02 19:06:32 +0000 2020,1245789731910230016,"@elonmusk @Tesla @elonmusk The lockdown in Nigeria is affecting us, hunger might kill us b4 Covid-19 get 2 us, pls,… https://t.co/LeTDxD7q9C"
