,created_at,id,text
89,Sun May 17 05:36:25 +0000 2020,1261893314741252096,@MariaBartiromo @SundayFutures @FoxNews @POTUS @realDonaldTrump @SenJohnKennedy @RepDougCollins @NYCMayor Can you a… https://t.co/KLYA8xOt2n
90,Sun May 17 13:31:33 +0000 2020,1262012884449714176,Corruption at its worst. @realDonaldTrump @POTUS @FLOTUS @MELANIATRUMP @IvankaTrump @realDonaldTrump @moderna_tx… https://t.co/kZcyDWnPEV
91,Tue May 19 20:42:34 +0000 2020,1262846129407963136,@moderna_tx CEO needs to be grilled by @SEC_Enforcement and the @FBI for his misleading statements yesterday regard… https://t.co/QbtOOBOhOQ
92,Tue May 19 20:58:20 +0000 2020,1262850096812654599,"I don't want to crap on good news and I still think @moderna_tx's announcement counts as good news, but this is rea… https://t.co/YgiGKjHARB"
93,Tue May 19 21:07:57 +0000 2020,1262852517936783360,RT @McLellan_Lab: Great article on the development of the @moderna_tx COVID-19 vaccine and the role my lab played in collaboration with Dr.…
94,Tue May 19 21:09:17 +0000 2020,1262852851027468289,RT @KizzyPhD: Our (co-inventors @McLellan_Lab) COVID-19 vaccine (spike delivered by @moderna_tx's mRNA) was just injected into the 1st huma…
95,Tue May 19 21:09:25 +0000 2020,1262852884971937793,RT @KizzyPhD: A second phase 1 clinical site has been added for our (@NIAIDNews @McLellan_Lab @moderna_tx) COVID-19 vaccine. Welcome to the…
96,Tue May 19 21:09:35 +0000 2020,1262852928202670080,"RT @KizzyPhD: ""(BARDA) will also support 🤑 @moderna_tx to get Phase 2 and 3 clinical trials of its COVID-19 vaccine (...) developed in part…"
97,Tue May 19 21:48:16 +0000 2020,1262862665178927104,"@moderna_tx #moderna_time_to_respond, @MoncefSlaoui_  @POTUS 
Can you pls release an explanation in response to rep… https://t.co/MmBSfbwDwa"
98,Tue May 19 21:50:10 +0000 2020,1262863142960410625,@talmor_guy @thenomadJJE @HelenBranswell @moderna_tx I was mislead by an article who misconstrued his words. You ar… https://t.co/LyVtyT9FSe
99,Tue May 19 21:50:27 +0000 2020,1262863212892086273,RT @MiddlesexGases: Check out the Phase 1 Data of @moderna_tx 's  SARS-CoV-2 vaccine.  We are happy to have a customer like this in the Mid…
100,Tue May 19 21:55:37 +0000 2020,1262864513126117377,RT @CBSThisMorning: U.S. biotech firm Moderna announced that the first 8 participants in the @NIH-led Phase 1 of its COVID-19 vaccine trial…
101,Tue May 19 22:00:36 +0000 2020,1262865769274236928,RT @helenbranswell: How much there-there was there in @moderna_tx's early readout from the Phase 1 of its #Covid19… https://t.co/1ZGd6E5e18
102,Tue May 19 22:17:02 +0000 2020,1262869902005874690,RT @agbu: . @NoubarAfeyan leads @moderna_tx thru a #COVID_19 #vaccinecandidate w/ #immigrantresolve from #wartorn #Lebanon. In @FortuneMaga…
103,Tue May 19 23:03:08 +0000 2020,1262881505044561920,"RT @RLCscienceboss: Today, @moderna_tx became the first company to announce preliminary results from a #COVID19 vaccine trial. Under normal…"
104,Tue May 19 23:26:29 +0000 2020,1262887381906096131,"RT @moderna_tx: Accelerated research &amp; development timeline of our novel coronavirus (SARS-CoV-2 or COVID-19) #vaccine candidate, mRNA-1273…"
105,Tue May 19 23:30:02 +0000 2020,1262888272616763392,"RT @Bob_Wachter: 1/ Covid (@UCSF) Chronicles, Day 62

Today started as slow news day. Then it wasn’t, as @moderna_tx vaccine results hit. I…"
106,Tue May 19 23:45:24 +0000 2020,1262892141866635266,RT @HelenBranswell: There's a little bit of data out on @moderna_tx's #Covid19 candidate vaccine. Don't want to read too much into it but s…
107,Tue May 19 23:59:03 +0000 2020,1262895577244880896,RT @HelenBranswell: How much there-there was there in @moderna_tx's early readout from the Phase 1 of its #Covid19 vaccine? Not a ton. http…
108,Wed May 20 15:54:14 +0000 2020,1263135957148209152,@MariaBartiromo @MorningsMaria @FoxBusiness @InovioPharma @moderna_tx Here’s the publication by @NatureComms https://t.co/wpAh5enJlN
109,Wed May 20 16:17:00 +0000 2020,1263141684390572032,"Possible ""Early 2021"" #COVID19Vaccine
    
#Updated #BreakingNews

@MorganStanley sees a 65% probability of success… https://t.co/4VaoSy15cb"
110,Wed May 20 16:29:14 +0000 2020,1263144764561637376,It’s too soon to assume success for Moderna’s COVID-19 vaccine: analyst | @moderna_tx #covid19 https://t.co/onrg1K6z6u
111,Wed May 20 16:29:33 +0000 2020,1263144843972358144,It’s too soon to assume success for Moderna’s COVID-19 vaccine: analyst | @moderna_tx #covid19 https://t.co/EyCdHVA8m9
112,Wed May 20 16:48:15 +0000 2020,1263149548375072769,.@moderna_tx said neutralising antibodies were found in the people who took part in their safety trials.And the imm… https://t.co/TnSnTqWnlP
113,Wed May 20 16:58:12 +0000 2020,1263152055075639297,"RT @Tickermarket: @moderna_tx 's experimental #Covid_19 #vaccine , the first to be tested in US, produced protective antibodies in a group…"
114,Wed May 20 17:04:06 +0000 2020,1263153539188248580,"RT @cenmag: #ICYMI, on Monday @moderna_tx became the first company to announce preliminary results from a #COVID19 vaccine trial. https://t…"
115,Wed May 20 17:10:04 +0000 2020,1263155040480567297,"Can we agree to call it vaporware? @moderna_tx has yet to ship a single product...

https://t.co/7e4OC4iYZJ"
116,Wed May 20 17:21:09 +0000 2020,1263157829478817794,"RT @Revkin: ""This is not how you do science,"" indeed! https://t.co/ZoQkrb3Ilg This @moderna_tx saga needed a fat warning label from the sta…"
117,Wed May 20 17:30:20 +0000 2020,1263160138841706497,@MariaBartiromo @moderna_tx @MorningsMaria @FoxBusiness Be careful which vaccine you choose. Moderna is the company… https://t.co/DXpbON56Tu
118,Wed May 20 17:49:07 +0000 2020,1263164866539466753,RT @able_indiabio: Moderna’s COVID-19 vaccine shows positive results in phase 1 clinical trials.   The interim results of @moderna_tx vacci…
119,Wed May 20 18:43:39 +0000 2020,1263178592172810242,"Moderna Chairman responds to controversy surrounding COVID-19 vaccine trial data.
$MRNA @moderna_tx #coronavirus https://t.co/MFZ6bfVptO"
